Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),predicted label
10.00176242,-3.311651276,9.051210918,-9.057618297,13.22618246,0.0
10.01173742,-3.804187394,9.18058992,-8.708224357,13.21318449,0.0
10.02171142,-4.273549241,8.875868708,-7.960597025,12.66551907,0.0
10.03168542,-4.467140611,8.353969043,-6.744004287,11.62866019,0.0
10.04166042,-4.468408872,7.864631937,-5.562612956,10.6189348,0.0
10.05163442,-4.361154565,7.51487664,-4.700058892,9.878440851,0.0
10.06160842,-4.13543216,7.149517463,-3.933073768,9.148030846,0.0
10.07158342,-4.018615317,6.77470977,-3.045644187,8.445230017,0.0
10.08155742,-4.030586906,6.404683346,-2.131669417,7.86190906,0.0
10.09153142,-4.129065127,6.118605981,-1.417998035,7.516464355,0.0
10.10150542,-4.355091003,5.985322793,-0.9939486006,7.468523308,0.0
10.11148042,-4.519152179,5.839580943,-0.7941173744,7.426578244,0.0
10.12145442,-4.685673864,5.585040536,-0.7389714065,7.32763919,0.0
10.13142842,-5.001300718,5.369186477,-0.6698970786,7.368170356,0.0
10.14140342,-5.405046866,5.29936429,-0.6629087788,7.598502586,1.0
10.15137742,-5.86158577,5.303821623,-0.9133511648,7.9575701,1.0
10.16135142,-6.14120313,5.019164547,-1.329405994,8.041996576,1.0
10.17132642,-6.140943514,4.533219995,-1.83848827,7.851197991,1.0
10.18130042,-6.273646658,4.56695726,-2.490515088,8.149748856,1.0
10.19127442,-6.595028926,4.666381561,-3.113160232,8.658018829,1.0
10.20124842,-6.581534722,4.028361456,-3.493373091,8.470416216,1.0
10.21122342,-5.784669156,2.470201861,-3.61849912,7.256571529,1.0
10.22119742,-3.936497605,-0.04292265594,-3.178656356,5.059813433,0.0
10.23117142,-0.8252660769,-3.832843428,-2.194881619,4.493245838,0.0
10.24114642,3.645006303,-9.184305825,-0.3329580009,9.886779328,0.0
10.25112042,9.454090508,-15.77064462,3.545907108,18.72609186,0.0
10.26109442,14.47909058,-20.91065591,9.30460644,27.08274904,0.0
10.27106942,14.52483101,-20.921085,11.82615387,28.08060592,0.0
10.28104342,14.33677052,-22.88448179,10.33313518,28.91394436,0.0
10.29101742,17.11843484,-26.28161117,11.18712921,33.30038674,0.0
10.30099242,18.95266429,-24.35725742,13.60783907,33.72910845,0.0
10.31096642,18.65756,-21.4599948,13.25843753,31.3755014,0.0
10.32094042,16.74466562,-18.20081059,11.20248634,27.15048864,0.0
10.33091442,14.70516615,-14.64869024,9.362064689,22.77003058,0.0
10.34088942,13.35593517,-11.65429251,7.821765414,19.37481748,0.0
10.35086342,12.34875929,-8.61570211,6.058367965,16.23040361,0.0
10.36083742,10.90426314,-5.550584648,3.823320653,12.81911562,0.0
10.37081242,9.183668479,-2.362772722,1.443911433,9.592045761,0.0
10.38078642,7.539368872,0.979353658,-1.235434806,7.702435702,0.0
10.39076042,6.113888447,3.929833533,-3.554893109,8.090765635,0.0
10.40073542,4.45189692,5.906474259,-5.324986789,9.113797709,0.0
10.41070942,2.530832224,7.505867835,-6.694090115,10.37082476,0.0
10.42068342,-0.07422046244,9.203779392,-7.191101691,11.68019723,0.0
10.43065842,-2.289172064,10.62803366,-7.171487206,13.02404073,0.0
10.44063242,-3.400555267,10.94956386,-6.690092373,13.27456443,0.0
10.45060642,-3.89956776,10.53357656,-6.106556039,12.7848696,0.0
10.46058042,-4.250092551,10.06793822,-5.953223333,12.44457853,0.0
10.47055542,-4.727023619,9.759278913,-6.421011111,12.60228792,0.0
10.48052942,-5.324109707,9.555929709,-7.180642776,13.08524235,0.0
10.49050342,-5.540074863,9.214980319,-7.521335474,13.12169117,0.0
10.50047842,-5.526111712,8.936076318,-7.37581231,12.83721067,0.0
10.51045242,-5.404726439,8.749242575,-6.969692777,12.42324156,0.0
10.52042642,-5.185410243,8.619968823,-6.380167724,11.91213172,0.0
10.53040042,-4.915120361,8.721955959,-5.669864339,11.50557628,0.0
10.54037542,-4.669019825,8.83403188,-4.853394229,11.10834375,0.0
10.55034942,-4.393738759,8.772252538,-4.000625773,10.59539341,0.0
10.56032342,-3.996274275,8.431678539,-3.347515758,9.913085938,0.0
10.57029496,-3.676311711,8.045958772,-2.703218959,9.249870978,0.0
10.58026896,-3.372220244,7.739675184,-2.050385225,8.687837528,0.0
10.59024296,-3.198981278,7.508621873,-1.679710052,8.332725215,0.0
10.60021796,-3.141568637,7.325486494,-1.624975144,8.13466349,0.0
10.61019196,-3.097194702,7.129319426,-1.70206425,7.957187519,0.0
10.62016596,-3.357039703,6.925352756,-1.58770543,7.858182672,0.0
10.63013996,-3.803785105,6.740777793,-1.234113043,7.837722972,0.0
10.64011496,-4.279571874,6.574696403,-0.8622599486,7.8920758,0.0
10.65008896,-4.796853408,6.445234371,-0.5522695184,8.053313003,0.0
10.66006296,-5.198306862,6.269901516,-0.4067428458,8.154722497,0.0
10.67003796,-5.350934978,6.098244222,-0.3912746215,8.122449357,0.0
10.68001196,-5.28148292,5.830687913,-0.3014438474,7.872855375,0.0
10.68998596,-5.20948323,5.404928167,-0.1146638989,7.5076702,0.0
10.69995996,-5.141916899,4.724546154,-0.02611381128,6.982931168,0.0
10.70993496,-4.686850909,3.342896458,-0.07483617425,5.757354308,0.0
10.71990896,-3.411073238,0.8758684659,-0.1022514296,3.523211825,0.0
10.72988296,-0.9477933115,-2.91054807,0.1179487185,3.063252215,0.0
